digit2,desc2,digit3,desc3,digit4,desc
22,Textile Mill Products,223,"Broadwoven Fabric Mills, Wool (includingDyeing and Finishing)",149\,MIN Administrative And Auxiliary
22,Textile Mill Products,224,"Narrow Fabric and other Smallwares Mills.Cotton, Wool, Silk, and Manmade Fiber",15--,Construction
22,Textile Mill Products,225,Knitting Mills,1500,General Building Contractors
22,Textile Mill Products,226,"Dyeing and Finishing Textiles, except WoolFabrics",1510,General Building Contractors Residencial Bldgs
22,Textile Mill Products,227,Carpets and Rugs,1530,Operative Builders
22,Textile Mill Products,228,Yarn and Thread Mills,1531,*   Operative Builders
22,Textile Mill Products,229,Miscellaneous Textile Good,1600,Heavy Construction Contractors
23,Apparel and other Finished Products Made from,231,"Men's and Boys' Suits, Coats, andOvercoats",1610,Highway And Street Construction
23,Apparel and other Finished Products Made from,232,"Men's and Boys' Furnishings, WorkClothing, and Allied Garments",1611,*   Highway And Street Construction
23,Apparel and other Finished Products Made from,233,"Women's, Misses', and Juniors' Outerwear",1620,"Heavy Construction, Except Highway"
23,Apparel and other Finished Products Made from,234,"Women's, Misses', Children's, and Infants'Underwear and Nightwear",1700,Special Trade Contractors
23,Apparel and other Finished Products Made from,235,"Hats, Caps, and Millinery",1710,"Plumbing, Heating, Air Conditioning"
23,Apparel and other Finished Products Made from,236,"Girls', Children's, and Infants' Outerwea",1720,"Painting, Paper Hanging, Decorating"
23,Apparel and other Finished Products Made from,237,Fur Goods,1730,Electrical Work
23,Apparel and other Finished Products Made from,238,Miscellaneous Apparel and Accessories,1740,"    Masonny,Stonework, And Plastering"
23,Apparel and other Finished Products Made from,239,Miscellaneous Fabricated Textile Products,1741,    Masonry And Other Stonework
24,"Lumber and Wood Products, except Furniture",241,Logging,1742,"    Plastering, Dry Wall And Insulation"
23,Apparel and other Finished Products Made from,242,Sawmills and Planing Mills,1743,"    Terrazzo, Tile, Marble, Mosaic Work"
23,Apparel and other Finished Products Made from,243,"Millwork, Veneer, Plywood, and StructuralWood",1750,Carpentering And Flooring
23,Apparel and other Finished Products Made from,244,Wood Containers,1751,Carpentering
23,Apparel and other Finished Products Made from,245,Wood Buildings and Mobile Homes,1752,"Floor Laying And Floor Work, nec"
23,Apparel and other Finished Products Made from,249,Miscellaneous Wood Products,1760,Roofing And Sheet Metal Work
25,Furniture and Fixtures,251,Household Furniture,1770,Concrete Work
25,Furniture and Fixtures,252,Office Furniture,1780,Water Well Drilling
25,Furniture and Fixtures,253,Public Building and Related Furniture,1790,    Misc. Special Trade Contractors
25,Furniture and Fixtures,254,"Partitions, Shelving, Lockers, and Officeand Store Fixtures",1791,    Structural Steel Erection
25,Furniture and Fixtures,259,Miscellaneous Furniture and Fixtures,1793,    Glass And Glazing Work
26,Paper and Allied Products,261,Pulp Mills,1794,    Excavating And Foundation Work
26,Paper and Allied Products,262,Paper Mills,1795,    Wrecking And Demolition Work
26,Paper and Allied Products,263,Paperboard Mills,1796,"    Installing Building Equipment, nec"
26,Paper and Allied Products,265,Paperboard Containers and Boxes,1799,"Special Trade Contractors, nec"
27,"Printing, Publishing, and Allied",271,"Newspapers: Publishing, or Publishing andPrinting",179\,CON Administrative And Auxiliary
27,"Printing, Publishing, and Allied",272,"Periodicals: Publishing, or Publishing andPrinting",20--,Manufacturing
27,"Printing, Publishing, and Allied",273,Books,2000,Food And Kindred Products
27,"Printing, Publishing, and Allied",274,Miscellaneous Publishing,2010,    Meat Products
27,"Printing, Publishing, and Allied",275,Commercial Printing,2011,    Meat Packing Plants
27,"Printing, Publishing, and Allied",276,Manifold Business Form,2013,Sausages And Other Prepared Meats
27,"Printing, Publishing, and Allied",277,Greeting Card,2016,    Poultry Dressing Plants
